No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
105,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,597.76M,-,14.39,0.28%,"2,586"
106,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,877.25M,-,5.76,0.17%,"911,563"
107,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,305.41B,54.53,630.84,0.76%,"2,965,008"
108,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,4.76B,42.06,68.43,-1.17%,"413,845"
109,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.14B,-,29.00,-1.13%,"126,972"
110,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,334.58M,-,9.72,-0.05%,"8,777"
111,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.11,1.10%,"3,049"
112,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,116.56M,3.21,6.25,1.63%,"104,109"
113,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,335.00M,-,9.71,0.00%,"26,114"
114,ADGI,"Adagio Therapeutics, Inc.",Healthcare,Biotechnology,USA,5.53B,-,46.74,4.05%,"160,953"
115,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,96.00B,38.79,177.23,1.94%,"3,320,265"
116,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,94.52M,-,4.67,6.38%,"1,023,178"
117,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,34.05B,14.71,60.28,2.19%,"1,786,838"
118,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,158.07M,-,1.28,3.23%,"2,131,493"
119,ADME,ETF Series Solutions - Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,40.72,1.09%,"27,222"
120,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,156.36M,-,1.05,0.96%,"1,024,676"
121,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,208.45M,-,4.86,1.67%,"71,301"
122,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA,386.23M,-,8.79,1.62%,"240,573"
123,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,3.84B,34.48,40.14,8.63%,"1,091,039"
124,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,119.62M,-,10.12,0.00%,546
125,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,85.09B,33.18,201.39,1.55%,"1,032,255"
126,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,5.33B,-,39.22,1.06%,"409,031"
127,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,49.64,0.28%,"10,005"
128,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,5.09B,6.26,99.74,4.72%,"697,702"
129,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,64.80B,49.37,292.16,2.00%,"1,047,618"
130,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,6.44B,-,8.20,2.24%,"1,969,729"
131,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,967.22M,54.53,19.52,2.63%,"207,375"
132,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,34.16M,-,1.75,-2.23%,"2,448,975"
133,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.32B,35.60,84.55,0.85%,"52,637"
134,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,2.63B,-,8.65,1.65%,"135,788"
135,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,215.96M,-,2.28,1.33%,"717,938"
136,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,2.26B,6.46,20.36,0.89%,"111,577"
137,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,69.53M,-,9.57,-1.29%,642
138,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,76.17M,-,0.53,3.88%,"2,656,712"
139,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,133.33M,7.85,30.17,0.55%,"6,588"
140,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,223.18M,-,9.70,0.14%,"2,410"
141,AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.99,0.15%,503
142,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,21.79B,22.83,83.31,-0.31%,"1,214,164"
143,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,420.73M,8.08,8.29,0.00%,"86,882"
144,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10.22B,8.04,4.77,0.85%,"1,668,667"
145,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,12.10M,-,2.80,-4.44%,"291,220"
146,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,289.55M,-,11.78,-1.01%,"2,295,010"
147,AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA,95.67M,-,2.39,-2.45%,"4,560,941"
148,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,3.46B,21.68,90.68,3.48%,"226,609"
149,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.59B,3.11,28.72,3.72%,"273,976"
150,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,12.61B,16.58,51.16,-2.59%,"1,711,614"
151,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,68.26M,-,4.37,-13.64%,"4,056,016"
152,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru,298.59M,-,1.68,1.14%,"56,376"
153,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,4.67B,20.01,27.61,3.37%,"4,586,759"
154,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,42.10B,17.93,82.31,-0.50%,"2,448,789"
155,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,7.87B,-,58.29,5.94%,"1,156,083"
156,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,545.11M,-,12.10,1.51%,"1,237,020"
157,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,15.48B,-,23.54,-0.55%,"3,382,995"
158,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA,-,-,99.24,-0.21%,"21,858"
159,AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA,69.31M,-,1.76,1.73%,"270,322"
160,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,14.08,1.51%,"14,068"
161,AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA,1.88B,-,8.74,0.58%,"1,527,554"
162,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,30.95M,-,2.42,-0.41%,"58,897"
163,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,133.23M,-,11.13,0.09%,"86,762"
164,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,75.79M,-,0.63,2.37%,"514,673"
165,AFAQU,AF Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.90,0.41%,12
166,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,426.86M,50.17,14.85,-1.85%,"132,981"
167,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA,105.85M,12.81,14.17,0.14%,934
168,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,300.09M,-,22.45,1.04%,"73,474"
169,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11.38B,8.49,133.20,1.35%,"341,803"
170,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA,68.56M,-,3.18,0.63%,"36,458"
171,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,334.40M,-,9.06,-5.53%,"483,095"
172,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,9.64,-0.41%,"15,875"
173,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,1.01B,-,8.35,0.36%,"579,735"
174,AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,-,-,26.79,0.47%,"2,177"
175,AFINP,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,-,-,26.65,-0.11%,"14,309"
176,AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,20.77,-0.10%,"4,796"
177,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,35.51B,6.32,52.39,0.98%,"3,031,394"
178,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,26.20,1.10%,"2,867"
179,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,784.08M,-,6.59,3.94%,"455,250"
180,AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA,34.56B,-,126.89,11.24%,"20,876,561"
181,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,245.12M,68.14,15.74,0.19%,"44,896"
182,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,19.94,-0.69%,"3,045"
183,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,1.85B,39.40,20.45,-4.62%,"282,297"
184,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,3.00B,45.75,11.94,-2.85%,"3,855,823"
185,AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA,648.52M,-,10.20,0.00%,"985,007"
186,AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA,566.60M,-,9.89,0.10%,"40,870"
187,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.87B,13.33,127.72,2.31%,"340,639"
188,AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA,-,-,10.66,0.28%,"135,692"
189,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,149.47M,-,11.91,0.93%,"46,389"
190,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,35.42M,-,0.98,5.38%,"64,899"
191,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,1.35B,-,6.08,0.83%,"2,810,038"
192,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,107.72M,-,2.21,-0.45%,"21,043"
193,AGFY,Agrify Corporation,Industrials,Specialty Business Services,USA,484.56M,-,25.49,8.61%,"1,171,099"
194,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,115.61,-0.49%,"7,824,545"
195,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA,300.19M,-,9.68,0.00%,0
196,AGGRU,Agile Growth Corp.,Financial,Shell Companies,USA,-,-,9.93,0.81%,20
197,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,52.48,-0.57%,"65,822"
198,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,3.57B,99.72,7.18,-2.97%,"2,155,768"
199,AGIL,"AgileThought, Inc.",Technology,Software - Application,USA,517.08M,-,12.32,-8.33%,"480,620"
200,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.74B,-,47.75,2.16%,"295,471"
201,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA,11.38B,-,28.46,1.32%,"674,066"
202,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,361.85M,-,7.77,1.83%,"53,643"
203,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,1.09B,11.10,104.17,2.22%,"32,165"
204,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,186.65M,-,8.73,-0.91%,"140,732"
205,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8.50B,4.67,16.22,0.06%,"4,645,061"
206,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3.50B,11.14,47.65,1.47%,"311,212"
207,AGOX,Adaptive Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,26.57,1.88%,"75,151"
208,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,33.34,-1.01%,"874,848"
209,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,19.97B,23.37,50.89,0.14%,"514,542"
210,AGRI,"AgriFORCE Growing Systems, Ltd.",Consumer Defensive,Farm Products,Canada,36.33M,-,2.39,3.46%,"111,119"
211,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,1.12B,10.65,9.30,1.64%,"609,046"
212,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,91.36M,-,1.03,0.00%,"402,214"
213,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,281.87M,-,7.92,4.76%,"307,936"
214,AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,-,-,30.06,0.21%,73
215,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,142.37M,-,3.42,3.01%,"325,279"
216,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA,2.52B,-,19.76,-1.30%,"221,316"
217,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,687.97M,16.46,43.96,0.87%,"39,815"
218,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,1.29B,-,53.84,2.75%,"44,316"
219,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,118.74,-0.23%,"15,405"
220,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,46.88,0.05%,"24,449"
221,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,3.08B,-,23.71,2.02%,"525,221"
222,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1.11B,56.10,13.52,-0.22%,"139,972"
223,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,28.68M,-,7.43,2.34%,"269,828"
224,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,1.70B,-,15.50,3.47%,"3,499,107"
225,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,5.14B,-,49.66,3.98%,"2,819,651"
226,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,79.64,0.48%,"415,885"
