No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,86.44,0.35%,"713,219"
24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5.16B,15.67,52.23,4.06%,"229,966"
25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,71.42B,77.90,34.51,2.07%,"1,318,918"
26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,191.93B,29.32,108.91,0.35%,"7,273,751"
27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,24.79B,-,120.11,1.07%,"709,971"
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.70B,8.68,52.78,1.50%,"234,440"
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,4.55B,21.50,15.91,2.51%,"1,300,757"
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.74B,212.83,21.07,1.64%,"24,872"
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,90.57M,-,0.89,1.17%,"487,545"
32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.65,1.07%,398
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,43.59B,16.69,2.77,0.36%,"12,756,558"
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.99B,9.48,210.92,-0.43%,"120,908"
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,188.47M,-,9.75,0.10%,"23,900"
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,41.35M,-,2.83,-1.39%,"109,109"
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.10B,21.56,46.0,2.02%,"219,801"
38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,15.81B,102.27,345.07,2.68%,"180,806"
39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,106.95B,-,170.5,-1.77%,"4,121,818"
40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,620.30M,-,13.93,-3.20%,"50,318"
41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.71B,8.34,19.21,0.79%,"739,133"
42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1.05B,-,10.59,1.63%,"68,133"
43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,719.59M,124.73,11.35,1.52%,"75,706"
44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,207.59B,32.91,117.57,0.49%,"4,958,642"
45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,778.53M,10.79,38.56,1.00%,"39,301"
46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,428.28M,-,4.15,-0.24%,"2,053,817"
47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,59.90M,-,2.46,4.68%,"1,688,628"
48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,794.90M,8.04,38.07,-2.73%,"2,244"
49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.54B,32.58,52.36,1.75%,"107,340"
50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.88B,-,17.82,-0.11%,"2,792,387"
51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.9,0.00%,0
52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.84B,-,7.26,2.11%,"3,361,543"
53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,10.4,0.00%,0
54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,556.36M,13.00,27.38,1.60%,"54,078"
55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,7.28B,799.54,51.97,1.17%,"307,641"
56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.73B,-,39.6,3.15%,"746,882"
57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,870.12M,11.29,8.95,0.79%,"264,458"
58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.13B,45.09,12.04,0.33%,"134,956"
59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,36.58M,-,2.5,0.00%,"100,609"
60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,70.71,-0.73%,"190,079"
61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,261.73M,-,7.97,-0.62%,"35,019"
62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,285.19M,-,9.93,0.10%,"3,296,870"
63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.37,2.27%,"6,744"
64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,16.85B,8.60,42.8,2.37%,"1,743,161"
65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,-,5.19,25.81,0.27%,"109,656"
66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,18.32B,21.83,17.66,0.51%,"121,787"
67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.18B,30.58,55.71,1.02%,"318,868"
68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,317.48M,-,7.77,-4.07%,"299,425"
69,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,1.78B,-,7.33,-5.17%,"861,287"
70,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,77.69M,-,8.3,1.10%,"31,071"
71,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,13.68B,23.22,28.35,2.57%,"1,422,707"
72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,419.56M,-,9.73,0.00%,"26,948"
73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,30.66,1.36%,"24,114"
74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,464.18M,-,6.35,-0.16%,"236,986"
75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.74B,42.38,31.15,3.56%,"591,959"
76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,-,-,10.05,0.00%,14
77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,267.62M,-,10.23,-0.39%,221
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.64B,27.37,48.45,2.67%,"163,777"
79,ACM,AECOM,Industrials,Engineering & Construction,USA,9.16B,47.90,63.27,0.67%,"994,755"
80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,2.04B,76.65,104.09,-0.46%,"218,089"
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,226.68B,37.04,339.04,2.68%,"1,633,276"
82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,243.14M,8.07,27.63,-0.97%,"6,961"
83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,52.75M,-,4.66,0.65%,"82,862"
84,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,194.94M,-,11.18,0.18%,"139,030"
85,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,383.57M,-,9.76,0.62%,707
86,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,-,-,9.9,0.20%,"1,056"
87,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,147.92M,3.45,15.62,-1.58%,"55,857"
88,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,731.80M,8.91,15.63,0.71%,"309,999"
89,ACRO,Acropolis Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,291.90M,-,9.73,0.31%,"6,468"
90,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.08B,-,17.25,0.41%,"363,894"
91,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,121.36M,-,1.01,-0.98%,"808,231"
92,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,102.17M,-,1.74,-1.14%,"380,447"
93,ACT,"Enact Holdings, Inc.",Financial,Exchange Traded Fund,USA,3.47B,-,21.32,2.75%,"573,558"
94,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA,-,-,9.93,0.00%,0
95,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,282.73M,-,5.52,-1.78%,"335,886"
96,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,130.93M,10.68,35.87,2.78%,"13,229"
97,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,366.53M,-,35.4,1.87%,"17,956"
98,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,3.04B,-,20.32,3.89%,"862,097"
99,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,37.58,1.51%,"2,626"
100,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,102.79,1.29%,"2,599,788"
101,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,104.36,0.83%,"205,978"
102,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,56.64,0.85%,"1,098,264"
103,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,54.70M,-,4.95,9.51%,"144,452"
104,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,179.74M,-,43.0,-3.04%,"77,846"
105,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,525.01M,-,11.74,3.44%,"18,370"
106,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,853.91M,-,5.45,0.18%,"523,061"
107,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,290.10B,50.13,607.51,2.77%,"2,491,923"
108,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,4.86B,42.82,69.67,0.46%,"216,352"
109,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,1.95B,-,25.68,2.60%,"49,836"
110,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,336.53M,-,9.78,0.72%,667
111,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.26,0.31%,850
112,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,124.08M,3.35,6.52,2.68%,"116,909"
113,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA,337.41M,-,9.78,0.31%,4
114,ADGI,"Adagio Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.14B,-,30.87,0.42%,"318,088"
115,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,89.35B,36.81,168.2,2.34%,"4,671,885"
116,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,84.75M,-,3.99,-2.68%,"174,051"
117,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,35.74B,15.66,64.17,1.99%,"1,963,810"
118,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,150.05M,-,1.11,-2.63%,"1,542,261"
119,ADME,ETF Series Solutions - Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,40.49,1.63%,"22,067"
120,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,163.82M,-,1.1,0.92%,"1,174,661"
121,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,359.92M,-,8.07,0.00%,"1,898,500"
122,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA,422.69M,-,8.51,-4.17%,"197,629"
123,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,4.10B,38.93,45.32,3.26%,"447,651"
124,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,119.91M,-,10.15,-0.05%,51
125,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,88.75B,34.36,208.52,1.62%,"1,351,241"
126,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4.83B,-,33.39,1.03%,"560,824"
127,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,50.19,0.38%,"11,231"
128,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,4.93B,6.21,98.99,2.59%,"331,502"
129,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,64.51B,48.86,289.17,2.02%,"794,111"
130,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,6.85B,-,8.54,2.03%,"1,344,680"
131,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,930.93M,53.35,19.1,1.76%,"265,560"
132,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,33.34M,-,1.81,-11.27%,"2,666,938"
133,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.22B,32.42,77.0,0.44%,"55,007"
134,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,2.81B,-,8.84,2.79%,"236,157"
135,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,209.96M,-,2.14,-0.47%,"1,320,846"
136,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,2.25B,6.43,20.27,1.35%,"166,286"
137,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,61.80M,-,8.51,0.35%,179
138,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,66.71M,-,0.49,-7.16%,"4,388,848"
139,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,133.32M,8.11,31.15,0.48%,"4,817"
140,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,224.13M,-,9.74,0.05%,"173,657"
141,AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.04,0.06%,"43,744"
142,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,21.73B,22.99,83.9,1.57%,"1,742,378"
143,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,420.73M,8.08,8.29,0.36%,"21,496"
144,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10.77B,8.80,5.12,0.39%,"946,550"
145,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,12.35M,-,2.77,3.36%,"356,543"
146,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,434.08M,-,20.69,1.12%,"3,615,004"
147,AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA,86.88M,-,2.08,-3.70%,"1,654,509"
148,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,3.39B,20.90,87.39,2.25%,"212,457"
149,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.94B,3.49,32.23,1.26%,"176,261"
150,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,14.04B,18.76,57.89,1.40%,"1,400,626"
151,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,56.71M,-,3.56,-1.66%,"163,842"
152,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru,313.87M,-,1.81,-1.63%,"233,580"
153,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,4.14B,17.62,24.31,0.70%,"3,565,263"
154,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,42.33B,18.31,84.05,0.71%,"2,240,706"
155,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,8.14B,-,60.43,0.78%,"446,731"
156,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,600.12M,-,13.33,3.01%,"818,978"
157,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,16.19B,-,24.28,1.38%,"3,193,547"
158,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA,-,-,99.19,1.18%,"60,377"
159,AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA,71.31M,-,1.78,2.89%,"168,562"
160,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,13.98,1.38%,"25,575"
161,AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA,1.70B,-,7.82,-0.26%,"617,123"
162,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,28.71M,-,2.28,0.22%,"23,312"
163,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,125.64M,-,10.72,3.98%,"31,236"
164,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,76.15M,-,0.62,-0.27%,"677,279"
165,AFAQU,AF Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.89,0.00%,0
166,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,429.16M,50.44,14.93,0.27%,"37,296"
167,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA,97.21M,12.79,14.15,2.53%,"4,686"
168,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,317.06M,-,23.72,3.81%,"126,211"
169,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11.45B,8.56,134.29,0.89%,"219,589"
170,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA,67.85M,-,3.15,0.64%,"165,358"
171,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,308.52M,-,8.57,-4.46%,"233,205"
172,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,9.64,-0.00%,"8,406"
173,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,1.03B,-,8.48,-1.28%,"766,044"
174,AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,-,-,26.7,-0.30%,"3,934"
175,AFINP,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,-,-,26.56,0.04%,"9,493"
176,AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,21.74,1.29%,"15,428"
177,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,36.88B,6.68,55.35,2.58%,"2,737,085"
178,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,26.07,1.73%,11
179,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,741.13M,-,5.94,1.54%,"428,832"
180,AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA,38.28B,-,148.47,1.60%,"24,063,094"
181,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,247.92M,68.92,15.92,0.13%,"64,699"
182,AFTR,AfterNext HealthTech Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.69,0.00%,"27,100"
183,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,21.42,-1.28%,"7,168"
184,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,1.87B,39.90,19.71,0.10%,"58,320"
185,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,3.17B,48.28,12.6,3.19%,"4,754,176"
186,AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA,658.75M,-,10.54,4.46%,"12,746,160"
187,AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA,566.60M,-,9.89,-0.10%,"73,526"
188,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.63B,13.28,127.29,1.60%,"413,105"
189,AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA,-,-,10.97,4.28%,"470,208"
190,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,150.09M,-,11.96,1.18%,"50,772"
191,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,35.70M,-,0.92,0.22%,"29,943"
192,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,1.29B,-,5.5,1.85%,"2,556,513"
193,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,106.41M,-,2.21,-0.90%,"41,629"
194,AGFY,Agrify Corporation,Industrials,Specialty Business Services,USA,409.76M,-,19.93,-0.75%,"283,453"
195,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,114.85,0.19%,"4,094,242"
196,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA,301.63M,-,9.73,0.10%,127
197,AGGRU,Agile Growth Corp.,Financial,Shell Companies,USA,-,-,9.96,0.00%,0
198,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,52.04,0.20%,"112,151"
199,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,4.03B,114.79,8.15,2.77%,"3,338,453"
200,AGIL,"AgileThought, Inc.",Technology,Software - Application,USA,-,-,8.13,3.04%,"92,689"
201,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.75B,-,46.73,2.64%,"309,589"
202,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA,9.54B,-,23.73,-1.45%,"3,448,540"
203,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,414.69M,-,8.42,6.18%,"122,446"
204,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,1.23B,12.52,117.52,1.71%,"27,524"
205,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,220.07M,-,10.16,-0.59%,"153,990"
206,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8.45B,4.66,16.19,0.31%,"5,561,909"
207,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3.72B,12.16,52.01,2.00%,"517,853"
208,AGOX,Adaptive Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,26.46,1.46%,"19,506"
209,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,36.21,4.59%,"756,467"
210,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,20.48B,24.34,53.02,1.07%,"909,390"
211,AGRI,"AgriFORCE Growing Systems, Ltd.",Consumer Defensive,Farm Products,Canada,30.67M,-,1.99,9.34%,"737,631"
212,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,1.02B,9.85,8.6,-0.35%,"618,839"
213,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,102.24M,-,0.79,-0.37%,"1,357,224"
214,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,311.44M,-,8.39,3.58%,"152,696"
215,AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,-,-,28.33,0.99%,215
216,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,120.17M,-,2.73,-0.36%,"227,643"
217,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA,2.63B,-,20.19,0.45%,"126,952"
218,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,700.04M,16.47,44.0,0.69%,"42,487"
219,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,1.38B,-,54.21,1.01%,"33,071"
220,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,118.34,0.09%,"16,398"
221,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,46.88,0.02%,"8,537"
222,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,3.26B,-,24.73,5.28%,"874,970"
223,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1.12B,56.85,13.7,0.37%,"158,491"
224,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,25.63M,14.53,6.03,-5.63%,"130,972"
225,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,378.26M,-,13.7,0.44%,"1,966,652"
226,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,4.94B,-,46.63,-0.28%,"1,396,615"
